valid_time,latitude,longitude,tp_m,tp_mm,swvl2,swvl4,swvl1,swvl3,sp_pa,sp_hpa,d2m,t2m,strd_jm2,strd_wm2,ssrd_jm2,ssrd_wm2,skt,u10,v10,t2m_c,d2m_c,skt_c,wind_speed,rh,data,t2m_c_mean,t2m_c_min,t2m_c_max,rh_mean,rh_min,rh_max,ssrd_mjm2_dia,tp_mm_dia,wind_speed_mean,sp_hpa_mean,swvl1_mean
2000-12-24 00:00:00,-4.199999999999166,-38.499999999995396,-1.1175871e-08,-1.1175871e-05,0.2899933,0.37297058,0.30682373,0.3163147,100506.25,1005.0625,296.34552,298.1507,1.41048e+06,391.8,0.0,0.0,297.46518,-2.4156036,-1.4208221,25.000702,23.195526,24.315186,2.802477,89.738495,2000-12-24,26.517072677612305,23.90020751953125,30.558685302734375,76.22710418701172,54.48764419555664,92.03484344482422,22.466800689697266,1.0979094505310059,3.5439469814300537,1004.634765625,0.3014030456542969
2000-12-25 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.2897339,0.37286377,0.2866516,0.3160553,100466.48,1004.6648,295.01416,297.5326,1.344364e+06,373.43445,0.0,0.0,296.65533,-2.1050873,-2.0091019,24.382599,21.864166,23.50534,2.9099627,85.882965,2000-12-25,26.51131248474121,23.369476318359375,31.490203857421875,72.71502685546875,42.94465637207031,91.73052215576172,24.39968490600586,0.35567283630371094,3.402125120162964,1004.3496704101562,0.2775688171386719
2000-12-26 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.28935242,0.3727417,0.25798035,0.31573486,100466.26,1004.6626,295.12708,297.68744,1.34774e+06,374.37222,0.0,0.0,296.8369,-1.9564209,-1.5866241,24.537445,21.977081,23.68692,2.5189202,85.679245,2000-12-26,26.880258560180664,23.917694091796875,32.174560546875,73.93783569335938,43.28018569946289,91.23699188232422,24.712167739868164,0.5717313289642334,3.6710927486419678,1003.8056030273438,0.2510293424129486
2000-12-27 00:00:00,-4.199999999999166,-38.499999999995396,4.2823376e-07,0.00042823376,0.28894043,0.37261963,0.23524475,0.31541443,100470.484,1004.70483,296.18237,298.44385,1.428422e+06,396.78387,0.0,0.0,297.98267,-3.2268524,-1.3918247,25.293854,23.03238,24.832672,3.5142214,87.32167,2000-12-27,27.037996292114258,24.336822509765625,31.689849853515625,72.70125579833984,44.30595779418945,89.32777404785156,23.8505916595459,1.2100834846496582,4.032670497894287,1004.0690307617188,0.23325538635253906
2000-12-28 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.2885437,0.37251282,0.2214508,0.31513977,100564.48,1005.6448,295.17493,297.9986,1.3628e+06,378.55554,0.0,0.0,297.15845,-2.2420502,-1.2869415,24.848602,22.024933,24.008453,2.5851514,84.34786,2000-12-28,27.05133819580078,24.062286376953125,31.87103271484375,70.67501068115234,46.82605743408203,88.94337463378906,24.083980560302734,0.06818771362304688,3.8103818893432617,1004.4135131835938,0.21354229748249054
2000-12-29 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.28808594,0.3723755,0.19981384,0.31481934,100456.86,1004.5686,295.0337,298.2832,1.364148e+06,378.93,0.0,0.0,297.54144,-2.5767212,-1.2115173,25.13321,21.883698,24.391449,2.8473263,82.21882,2000-12-29,27.329072952270508,24.582244873046875,32.325897216796875,72.33777618408203,46.917659759521484,87.50582122802734,24.17953109741211,1.4692991971969604,3.8777053356170654,1003.96630859375,0.19961611926555634
2000-12-30 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.28767395,0.37226868,0.2013092,0.31455994,100471.66,1004.71655,296.1197,298.61548,1.412776e+06,392.43777,0.0,0.0,298.3749,-2.7674408,-1.1442108,25.465485,22.969696,25.224915,2.994653,86.108955,2000-12-30,27.26579475402832,23.850311279296875,31.8056640625,74.29074096679688,46.01314926147461,94.71269989013672,23.012163162231445,1.2536555528640747,3.537057876586914,1003.801025390625,0.20108287036418915
2000-12-31 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.28727722,0.37216187,0.19940186,0.31428528,100450.75,1004.5075,296.03177,298.51184,1.402664e+06,389.62888,0.0,0.0,298.1877,-2.1759644,-1.0887909,25.361847,22.881775,25.03772,2.433164,86.180725,2000-12-31,26.780868530273438,23.740142822265625,31.189849853515625,77.94544219970703,54.56060028076172,96.02198791503906,22.022056579589844,1.5777230262756348,3.0734026432037354,1004.2350463867188,0.20208294689655304
2001-01-01 00:00:00,-4.199999999999166,-38.499999999995396,3.5344856e-06,0.0035344856,0.28692627,0.37205505,0.20172119,0.3140564,100457.664,1004.57666,295.912,298.64917,1.448488e+06,402.3578,0.0,0.0,298.48285,-3.2671814,-1.7409058,25.499176,22.761993,25.332855,3.7020574,84.86301,2001-01-01,27.080392837524414,24.007781982421875,31.709075927734375,71.94220733642578,46.496829986572266,88.9725112915039,23.395267486572266,0.6008087396621704,3.280778169631958,1003.8331909179688,0.19831784069538116
2001-01-02 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.28651428,0.37193298,0.19018555,0.31375122,100509.72,1005.09717,294.9879,298.23843,1.363092e+06,378.63666,0.0,0.0,297.79034,-2.4970245,-1.587677,25.08844,21.837921,24.64035,2.9590285,82.20821,2001-01-02,27.270959854125977,24.501129150390625,32.143768310546875,72.79568481445312,48.668548583984375,88.91020965576172,23.36680793762207,1.6377568244934082,3.1464178562164307,1004.2688598632812,0.1917133331298828
